GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100040014,51,4001,4,0.019002375,0.25415677,0.285035629,0.167458432,0.193586698,0.026128266,0.013114754,5.568965517,0.103044496,0.526932084,209600,32034,0
G13005100040015,51,4001,5,0.065830721,0.08045977,0.244514107,0.625914316,0.642633229,0.045977011,0.281081081,0.084175084,0.283062645,0.886310905,101600,13588,0.066532258
G13005100040021,51,4002,1,0.058035714,0.191964286,0.1640625,0.2421875,0.285714286,0.027901786,0.214754098,5.777777778,0.169329073,0.361022364,239300,25618,0
G13005100040022,51,4002,2,0.071931196,0.116497263,0.258014073,0.184519156,0.241594996,0.008600469,0.048442907,2.700729927,0.255936675,0.679419525,147600,24826,0
G13005100040023,51,4002,3,0.126582278,0.167369902,0.080168776,0.299578059,0.322081575,0.144866385,0.090225564,0.882882883,0.343085106,0.763297872,,16754,0.095744681
G13005100040024,51,4002,4,0.053507729,0.309155767,0.089179548,0.361474435,0.494649227,0.117717004,0.192139738,0.52173913,0.180722892,0.497991968,110500,15211,0
G13005100041001,51,4100,1,0.093004769,0.26709062,0.169316375,0.334658188,0.343402226,0.018282989,0.116161616,0.798245614,0.171232877,0.347031963,118800,21290,0.047713718
G13005100041002,51,4100,2,0.04,0.151304348,0.300869565,0.013913043,0.036521739,0.045217391,0.023861171,1.485148515,0.022304833,0.144981413,162500,32112,0
G13005100042071,51,4207,1,0.076319232,0.276929786,0.189271696,0.666375927,0.703445268,0.018752726,0.138228942,0.768987342,0.366486486,0.816216216,107900,16010,0.007497657
G13005100042072,51,4207,2,0.06764961,0.227233304,0.140503036,0.767562879,0.784041631,0.008673027,0.142476698,0.462783172,0.257028112,0.463855422,157000,21754,0
G13005100042073,51,4207,3,0.144385027,0.342245989,0,0.92513369,0.92513369,0,0.247619048,0,0.504761905,1,,9196,0.194029851
G13005100042081,51,4208,1,0.090978593,0.344036697,0.135321101,0.565749235,0.610091743,0.066513761,0.115440115,0.651041667,0.151515152,0.457070707,123700,19745,0
G13005100042082,51,4208,2,0.018583043,0.160278746,0.174216028,0.480836237,0.505226481,0.261324042,0.369158879,0.629139073,0.089430894,0.613821138,116600,19577,0
G13005100042083,51,4208,3,0.06685633,0.190611664,0.13940256,0.375533428,0.422475107,0.116642959,0.151843818,0.813559322,0.113445378,0.378151261,123000,19655,0.085409253
G13005100042084,51,4208,4,0.040963855,0.162248996,0.062650602,0.489156627,0.646586345,0.102811245,0.108287293,1.073891626,0.171206226,0.727626459,118000,25693,0
